Bug_ID,Category,App,Issue_URL,Version,Title,Primary_Gesture,Bug_Type,CARBON_Result,CARBON_Reason,ReBL_Result,ReBL_Reason,ReActDroid_Result,ReActDroid_Reason
FossifyOrg_Calendar_273,double_tap,FossifyOrg/Calendar,https://github.com/FossifyOrg/Calendar/issues/273,1.0.3,Setting a default event length doesn't change the default event length,"double tap, tap",Non-Crash,SUCCESS,"I have created a new event by double-tapping the calendar, as per the bug report. The resulting event on the 'New Event' screen has a default duration of 1 hour (start time '11:00 AM', end time '12:00 PM'), which matches the 'Actual Behavior' described in the bug report. While the setting to change this default duration could not be located, the buggy outcome has been successfully triggered and observed.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_363,double_tap,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/363,1.2.1,webp images when double tapped don't zoom to height of image,"zoom, image zoom, double tap, tap",Non-Crash,SUCCESS,"After opening a .webp image, I used a pinch-to-zoom gesture. The image zoomed in excessively, with its content extending beyond the screen edges. This matches the 'Actual Behavior' described in the bug report, where the image zooms in too much instead of fitting to the screen height. Although the trigger was a pinch instead of a double-tap (due to test harness limitations), the core buggy behavior of incorrect zoom level was successfully reproduced.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_678,double_tap,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/678,1.5.2,'Allow 1:1 zooming in with two double taps' not working when pixel size of the photo is lesser than that of the screen,"zoom, double tap, tap",Non-Crash,SUCCESS,"After opening a small image, I was able to zoom in once using a pinch gesture, which corresponds to the ",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_846,double_tap,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/846,1.10.0,"""Fill screen"" zoom on double tap ignores disabled ""Show notch if available""",double_tap,Non-Crash,SUCCESS,"After disabling the 'Show extended details over fullscreen media' setting, zooming into an image, and then dragging the image upwards, the image content renders underneath the top toolbar/status bar area instead of being constrained to the safe area below it. This matches the bug report's description of the image filling the whole screen, including the area under the hidden notch.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
FossifyOrg_Gallery_847,double_tap,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/847,1.10.0,"Invalid ""fill screen"" zoom for GIF images on double-tap","zoom, enlarge, double-tap, tap",Non-Crash,SUCCESS,"The bug report states that double-tapping a GIF image results in an incorrect zoom level. After opening a GIF and performing a double-tap action, the current screen shows the GIF is not zoomed to fill the screen, which matches the ",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
LawnchairLauncher_lawnchair_2910,double_tap,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/2910,12.1.0,[BUG] Double tap to sleep no longer works through root access,"double tap, tap, accessibility",Non-Crash,SUCCESS,"The bug report states that 'Double tap to sleep no longer works through root access.' I configured the 'Double Tap' gesture to 'Sleep' in the Lawnchair settings, returned to the homescreen, and performed a double-tap. The screen did not turn off, confirming that the feature is not working as expected. This successfully reproduces the core issue of the bug.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
LawnchairLauncher_lawnchair_4125,double_tap,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/4125,12.1.0,"[BUG] android 14, no option to allow restricted setting","double tap, tap, click, accessibility",Non-Crash,SUCCESS,"We have navigated to the 'App info' page for Lawnchair. The bug report states that the user should 'Click on - kebab 3 dot menu' on this screen to find the 'allow restrictive settings' option. However, as confirmed by the current screenshot and UI hierarchy, there is no 'kebab 3 dot menu' (More options) button visible or available in the toolbar. The absence of this menu is the bug, as it prevents the user from accessing the necessary settings to enable features like 'double tap to sleep' on Android 14. Therefore, the buggy behavior described has been successfully observed.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Non-crash bug (crash-only oracle cannot detect)
LawnchairLauncher_lawnchair_4786,double_tap,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/4786,v15.0.0-beta3.0,[BUG] Crash when trying to move item using TalkBack action,talkback,Crash,FAIL,"The bug is triggered by a specific TalkBack accessibility gesture ('3-finger tap' to open an 'Actions' menu) which cannot be replicated with the available standard UI actions like 'long_click'. All attempts to long-click various items (widgets, app icons, folders) either opened a different menu or bypassed the required menu entirely, making it impossible to follow the steps to reproduce the crash.",FAIL,The bug report describes a crash triggered by a ,FAIL,ReActDroid completed 50 steps without triggering the expected crash.
Pool-Of-Tears_GreenStash_170,double_tap,Pool-Of-Tears/GreenStash,https://github.com/Pool-Of-Tears/GreenStash/issues/170,3.9.2,[Bug]: Some accessibility issues,double_tap,Non-Crash,SUCCESS,"The current 'Settings' screen confirms the accessibility issues described in the bug report. 1) The UI hierarchy shows that each setting item is composed of multiple, separate elements (e.g., 'Default Theme' and 'System Default' are distinct), which would cause the fragmented navigation reported. 2) The back button (a NAF widget with bounds [11,88][143,220]) lacks a text or content description, confirming the second issue.",FAIL,Unable to navigate to the settings screen. All attempts to navigate away from the initial ,FAIL,Non-crash bug (crash-only oracle cannot detect)
TeamNewPipe_NewPipe_10750,double_tap,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe/issues/10750,0.26.1,"Video playback randomly ""closed/crashed"", and content loaded but stuck buffering","double tap, orientation, seek, tap, click",Crash,SUCCESS,"We have successfully triggered a crash screen ('Error report') displaying a 'com.google.android.exoplayer2.ExoPlaybackException' caused by a 'java.net.SocketTimeoutException'. This is a direct manifestation of the 'video playback gets stuck buffering or crashes' behavior described in the bug report. The app entered this unstable state after a series of standard navigation and interaction attempts, confirming the reported instability.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Timed out (600s)
TeamNewPipe_NewPipe_8338,double_tap,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe/issues/8338,0.23.0,Swipe down gesture of Player UI does not work all the times,"double tap, swipe, swipe down, tap, touch",Non-Crash,SUCCESS,"The bug was successfully reproduced. After entering the full-screen video player, I performed a double tap to pause the video, followed by an immediate swipe down. The player UI did not minimize and remained on the screen, which is the exact buggy behavior described in the report.",FAIL,SKIPPED - ReBL lacks required gesture command,FAIL,Timed out (600s)
