Category,Bug_ID,App,Issue_URL,Bug_Type,CARBON,ReBL,ReActDroid,AdbGPT,Screenshot,CARBON_Reason,ReBL_Reason,ReActDroid_Reason,AdbGPT_Reason,REMARKS
Double Tap,FossifyOrg_Calendar_1035,FossifyOrg/Calendar,https://github.com/FossifyOrg/Calendar/issues/1035,Double Tap,SUCCESS,SUCCESS,SUCCESS,SUCCESS,Dataset/double_tap/FossifyOrg_Calendar_1035 Tested/Annotation/annotated.png,The bug has been successfully reproduced. Following the steps in the bug report (clicking the ,(no reason provided),ReActDroid triggered a crash in 4 steps.,"4/4 steps, 4 MISSING (fake — tapped random elements)","CARBON: The bug has been successfully reproduced. Following the steps in the bug report (clicking the  | ReBL: (no reason provided) | ReActDroid: ReActDroid triggered a crash in 4 steps. | AdbGPT: 4/4 steps, 4 MISSING (fake — tapped random elements)"
Double Tap,FossifyOrg_Calendar_273,FossifyOrg/Calendar,https://github.com/FossifyOrg/Calendar/issues/273,Double Tap,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/double_tap/FossifyOrg_Calendar_273 Tested/Annotation/annotated.png,"I have created a new event by double-tapping the calendar, as per the bug report. The resulting event on the 'New Event' screen has a default duration of 1 hour (start time '11:00 AM', end time '12:00 PM'), which matches the 'Actual Behavior' described in the bug report. While the setting to change this default duration could not be located, the buggy outcome has been successfully triggered and observed.",ReBL timed out after 1800s without producing a result.,ReActDroid completed 30 steps without triggering the expected crash.,"4/4 steps, 6 MISSING (fake — tapped random elements)","CARBON: I have created a new event by double-tapping the calendar, as per the bug report. The resulting event on the 'New Event' screen has a default duration of 1 hour (start time '11:00 AM', end time '12:00 PM'), which matches the 'Actual Behavior' described in the bug report. While the setting to change this default duration could not be located, the buggy outcome has been successfully triggered and observed. | ReBL: ReBL timed out after 1800s without producing a result. | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 4/4 steps, 6 MISSING (fake — tapped random elements)"
Double Tap,FossifyOrg_Gallery_363,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/363,Double Tap,SUCCESS,SUCCESS,SUCCESS,SUCCESS,Dataset/double_tap/FossifyOrg_Gallery_363 Tested/Annotation/annotated.png,"After opening a .webp image, I used a pinch-to-zoom gesture. The image zoomed in excessively, with its content extending beyond the screen edges. This matches the 'Actual Behavior' described in the bug report, where the image zooms in too much instead of fitting to the screen height. Although the trigger was a pinch instead of a double-tap (due to test harness limitations), the core buggy behavior of incorrect zoom level was successfully reproduced.","Successfully navigated to a .webp image and performed a double-tap, which resulted in a zoomed-in state where the UI toolbars are hidden, confirming the buggy zoom behavior described in the report.",ReActDroid triggered a crash in 1 steps.,"4/4 steps, 8 MISSING (fake — tapped random elements)","CARBON: After opening a .webp image, I used a pinch-to-zoom gesture. The image zoomed in excessively, with its content extending beyond the screen edges. This matches the 'Actual Behavior' described in the bug report, where the image zooms in too much instead of fitting to the screen height. Although the trigger was a pinch instead of a double-tap (due to test harness limitations), the core buggy behavior of incorrect zoom level was successfully reproduced. | ReBL: Successfully navigated to a .webp image and performed a double-tap, which resulted in a zoomed-in state where the UI toolbars are hidden, confirming the buggy zoom behavior described in the report. | ReActDroid: ReActDroid triggered a crash in 1 steps. | AdbGPT: 4/4 steps, 8 MISSING (fake — tapped random elements)"
Double Tap,FossifyOrg_Gallery_678,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/678,Double Tap,SUCCESS,SUCCESS,FAIL,SUCCESS,Dataset/double_tap/FossifyOrg_Gallery_678 Tested/Annotation/annotated.png,"After opening a small image, I was able to zoom in once using a pinch gesture, which corresponds to the ","The bug is reproduced. By tapping on the image view (`org.fossify.gallery:id/subsampling_view`) twice, the app only toggled the visibility of the UI toolbars, switching between two view modes. It failed to enter the expected third",ReActDroid completed 30 steps without triggering the expected crash.,"6/6 steps, 6 MISSING (fake — tapped random elements)","CARBON: After opening a small image, I was able to zoom in once using a pinch gesture, which corresponds to the  | ReBL: The bug is reproduced. By tapping on the image view (`org.fossify.gallery:id/subsampling_view`) twice, the app only toggled the visibility of the UI toolbars, switching between two view modes. It failed to enter the expected third | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 6/6 steps, 6 MISSING (fake — tapped random elements)"
Double Tap,FossifyOrg_Gallery_846,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/846,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/FossifyOrg_Gallery_846 Tested/Annotation/annotated.png,"After disabling the 'Show extended details over fullscreen media' setting, zooming into an image, and then dragging the image upwards, the image content renders underneath the top toolbar/status bar area instead of being constrained to the safe area below it. This matches the bug report's description of the image filling the whole screen, including the area under the hidden notch.",The bug reproduction process is critically dependent on a,ReActDroid completed 30 steps without triggering the expected crash.,"0/8 steps, 20 MISSING","CARBON: After disabling the 'Show extended details over fullscreen media' setting, zooming into an image, and then dragging the image upwards, the image content renders underneath the top toolbar/status bar area instead of being constrained to the safe area below it. This matches the bug report's description of the image filling the whole screen, including the area under the hidden notch. | ReBL: The bug reproduction process is critically dependent on a | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/8 steps, 20 MISSING"
Double Tap,FossifyOrg_Gallery_847,FossifyOrg/Gallery,https://github.com/FossifyOrg/Gallery/issues/847,Double Tap,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/double_tap/FossifyOrg_Gallery_847 Tested/Annotation/annotated.png,"The bug report states that double-tapping a GIF image results in an incorrect zoom level. After opening a GIF and performing a double-tap action, the current screen shows the GIF is not zoomed to fill the screen, which matches the ",ReBL got stuck in a loop repeating the same actions.,ReActDroid completed 30 steps without triggering the expected crash.,"4/4 steps, 8 MISSING (fake — tapped random elements)","CARBON: The bug report states that double-tapping a GIF image results in an incorrect zoom level. After opening a GIF and performing a double-tap action, the current screen shows the GIF is not zoomed to fill the screen, which matches the  | ReBL: ReBL got stuck in a loop repeating the same actions. | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 4/4 steps, 8 MISSING (fake — tapped random elements)"
Double Tap,LawnchairLauncher_lawnchair_2910,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/2910,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/LawnchairLauncher_lawnchair_2910 Tested/Annotation/annotated.png,"The bug report states that 'Double tap to sleep no longer works through root access.' I configured the 'Double Tap' gesture to 'Sleep' in the Lawnchair settings, returned to the homescreen, and performed a double-tap. The screen did not turn off, confirming that the feature is not working as expected. This successfully reproduces the core issue of the bug.",Unable to locate the,ReActDroid completed 30 steps without triggering the expected crash.,"0/4 steps, 10 MISSING","CARBON: The bug report states that 'Double tap to sleep no longer works through root access.' I configured the 'Double Tap' gesture to 'Sleep' in the Lawnchair settings, returned to the homescreen, and performed a double-tap. The screen did not turn off, confirming that the feature is not working as expected. This successfully reproduces the core issue of the bug. | ReBL: Unable to locate the | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/4 steps, 10 MISSING"
Double Tap,LawnchairLauncher_lawnchair_4125,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/4125,Double Tap,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/double_tap/LawnchairLauncher_lawnchair_4125 Tested/Annotation/annotated.png,"We have navigated to the 'App info' page for Lawnchair. The bug report states that the user should 'Click on - kebab 3 dot menu' on this screen to find the 'allow restrictive settings' option. However, as confirmed by the current screenshot and UI hierarchy, there is no 'kebab 3 dot menu' (More options) button visible or available in the toolbar. The absence of this menu is the bug, as it prevents the user from accessing the necessary settings to enable features like 'double tap to sleep' on Android 14. Therefore, the buggy behavior described has been successfully observed.",Unable to navigate to the,ReActDroid completed 30 steps without triggering the expected crash.,"8/8 steps, 16 MISSING (fake — tapped random elements)","CARBON: We have navigated to the 'App info' page for Lawnchair. The bug report states that the user should 'Click on - kebab 3 dot menu' on this screen to find the 'allow restrictive settings' option. However, as confirmed by the current screenshot and UI hierarchy, there is no 'kebab 3 dot menu' (More options) button visible or available in the toolbar. The absence of this menu is the bug, as it prevents the user from accessing the necessary settings to enable features like 'double tap to sleep' on Android 14. Therefore, the buggy behavior described has been successfully observed. | ReBL: Unable to navigate to the | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 8/8 steps, 16 MISSING (fake — tapped random elements)"
Double Tap,LawnchairLauncher_lawnchair_4786,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/4786,Double Tap,FAIL,FAIL,FAIL,SUCCESS,Dataset/double_tap/LawnchairLauncher_lawnchair_4786 Tested F/Annotation/annotated.png,"The bug is triggered by a specific TalkBack accessibility gesture ('3-finger tap' to open an 'Actions' menu) which cannot be replicated with the available standard UI actions like 'long_click'. All attempts to long-click various items (widgets, app icons, folders) either opened a different menu or bypassed the required menu entirely, making it impossible to follow the steps to reproduce the crash.","The bug report describes a crash triggered by a ""Move item"" action available through the TalkBack accessibility service. Despite numerous attempts using standard UI interactions like long-pressing various widgets, app icons, and folders, I was unable to find or trigger this ""Move item"" action. The available context menus only offer options like ""Customize"" and ""App info"". Without the ability to in",ReActDroid completed 30 steps without triggering the expected crash.,"12/12 steps, 12 MISSING (fake — tapped random elements)","CARBON: The bug is triggered by a specific TalkBack accessibility gesture ('3-finger tap' to open an 'Actions' menu) which cannot be replicated with the available standard UI actions like 'long_click'. All attempts to long-click various items (widgets, app icons, folders) either opened a different menu or bypassed the required menu entirely, making it impossible to follow the steps to reproduce the crash. | ReBL: The bug report describes a crash triggered by a ""Move item"" action available through the TalkBack accessibility service. Despite numerous attempts using standard UI interactions like long-pressing various widgets, app icons, and folders, I was unable to find or trigger this ""Move item"" action. The available context menus only offer options like ""Customize"" and ""App info"". Without the ability to in | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 12/12 steps, 12 MISSING (fake — tapped random elements)"
Double Tap,Pool-Of-Tears_GreenStash_170,Pool-Of-Tears/GreenStash,https://github.com/Pool-Of-Tears/GreenStash/issues/170,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/Pool-Of-Tears_GreenStash_170 Tested/Annotation/annotated.png,"The current 'Settings' screen confirms the accessibility issues described in the bug report. 1) The UI hierarchy shows that each setting item is composed of multiple, separate elements (e.g., 'Default Theme' and 'System Default' are distinct), which would cause the fragmented navigation reported. 2) The back button (a NAF widget with bounds [11,88][143,220]) lacks a text or content description, confirming the second issue.",Unable to navigate to the settings screen. All attempts to navigate away from the initial,ReActDroid completed 30 steps without triggering the expected crash.,"0/0 steps, 0 MISSING","CARBON: The current 'Settings' screen confirms the accessibility issues described in the bug report. 1) The UI hierarchy shows that each setting item is composed of multiple, separate elements (e.g., 'Default Theme' and 'System Default' are distinct), which would cause the fragmented navigation reported. 2) The back button (a NAF widget with bounds [11,88][143,220]) lacks a text or content description, confirming the second issue. | ReBL: Unable to navigate to the settings screen. All attempts to navigate away from the initial | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/0 steps, 0 MISSING"
